time_min,time_hours,S_mean,A_mean,Ap_c_mean,Ap_n_mean,r_mean,R_mean,f_mean,F_mean,a_mean
530.9819639278558,8.849699398797595,0.0,435428.24325546034,58.3,15.3,0.0,1608.8,2.4,18034.519411424273,14.3
533.8677354709419,8.897795591182364,0.0,437292.8572401373,54.8,13.4,0.0,1512.83253373764,2.4,17587.368558423135,14.6
536.7535070140281,8.945891783567134,0.0,439216.2092684237,49.6,13.1,0.0,1426.0,2.4,17128.278867338067,14.8
539.6392785571143,8.993987975951903,0.0,441154.79917897936,47.8,10.8,0.0,1345.9,2.4,16705.260261804193,14.8
542.5250501002004,9.042084168336673,0.0,443050.53927074734,42.5,9.3,0.0,1264.8,2.2,16300.490776242275,15.0
545.4108216432866,9.090180360721442,0.0,444977.99690070766,37.8,8.5,0.0,1195.2286657907018,2.0,15894.8,15.1
548.2965931863728,9.138276553106213,0.0,446941.28329013975,34.6,7.6,0.0,1128.1,2.0,15498.3540800516,15.1
551.1823647294589,9.186372745490981,0.0,448848.4767929868,31.1,7.5,0.0,1070.0,1.8,15108.833992467935,14.9
554.0681362725451,9.234468937875752,0.0,450781.76206063514,28.6,6.8,0.0,1006.6,1.8,14730.271429993008,15.4
556.9539078156313,9.28256513026052,0.0,452694.1093505026,25.5,6.3,0.0,952.2,1.7,14363.0,14.6
559.8396793587175,9.330661322645291,0.0,454548.8847164273,23.7,6.2,0.0,901.3,1.6,14015.54685985081,14.8
562.7254509018036,9.37875751503006,0.0,456352.72783283156,21.3,6.2,0.0,848.7,1.6,13675.569675296725,14.1
565.6112224448898,9.42685370741483,0.0,458127.8358075698,19.7,5.8,0.0,799.9,1.6,13337.636375075741,14.3
568.496993987976,9.474949899799599,0.0,459877.57704143354,17.7,5.3,0.0,758.2637517658802,1.5,12993.468048062248,14.4
571.3827655310621,9.52304609218437,0.0,461611.22303139063,16.4,4.7,0.0,713.4,1.5,12669.524196901906,14.1
574.2685370741483,9.571142284569138,0.0,463330.0768357789,15.0,4.0,0.0,669.7,1.3,12353.335029504375,14.4
577.1543086172345,9.619238476953909,0.0,465133.1358091179,14.6,3.5,0.0,633.3,1.3,12031.96526728502,14.5
580.0400801603206,9.667334669338677,0.0,466937.2403546983,14.0,2.5,0.0,600.3,1.3,11713.3,14.8
582.9258517034068,9.715430861723448,0.0,468803.08077489585,11.3,3.0,0.0,566.3,1.3,11414.260665599242,15.0
585.811623246493,9.763527054108216,0.0,470666.9516302488,10.7,2.6,0.0,535.3,1.2,11127.809124902535,14.8
588.6973947895791,9.811623246492985,0.0,472534.17011610384,10.2,2.4,0.0,506.1,1.0,10848.1,15.1
591.5831663326653,9.859719438877756,0.0,474441.655180588,9.4,2.3,0.0,475.2,0.8,10575.1,15.3
594.4689378757515,9.907815631262524,0.0,476376.26959755534,8.5,2.1,0.0,451.3,0.8,10289.943645900543,15.5
597.3547094188377,9.955911823647295,0.0,478259.7239359912,7.2,2.2,0.0,425.2,0.8,10018.229532202557,15.4
600.2404809619238,10.004008016032063,0.0,480164.6287665108,6.5,2.0,0.0,400.4,0.8,9763.197009676986,15.3
603.12625250501,10.052104208416834,0.0,482108.26157781406,6.1,1.8,0.0,378.0,0.7,9507.3,15.2
606.0120240480962,10.100200400801603,0.0,484022.7292412265,5.3,1.7,0.0,357.7,0.7,9255.538820145559,15.3
